Title;Directors;Banning Date;Year;Categorie censura;Censorship Symbols;URL
Le professioniste;Seijun Suzuki;1967;1964;sesso;∇;https://www.imdb.com/title/tt0058409/
A mosca cieca;Romano Scavolini;1967;1966;politica;∅;https://www.imdb.com/title/tt0197206/
Candy e il suo pazzo mondo;Christian Marquand;1968;1968;sesso;∇;https://www.imdb.com/title/tt0062776/
Summit;Giorgio Bontempi;1968;1968;religione;∓;https://www.imdb.com/title/tt0166371/
La bestia erotica;Lee Frost;1968;1968;sesso;∇;https://www.imdb.com/title/tt0061358/
Lollipop!;J.B. Tanko;1968;1964;violenza;≡;https://www.imdb.com/title/tt0200447/
L'ago sotto la pelle;Rolf Olsen;1968;1968;violenza;≡;https://www.imdb.com/title/tt0062680/
Ulysses;Joseph Strick;1968;1967;sesso;∇;https://www.imdb.com/title/tt0062414/
La ballata del piacere;Charles W. Broun Jr., Joel Holt, Arthur Knight;1968;1968;religione;∓;https://www.imdb.com/title/tt0063809/
Sexualation;Edward G. Collins;1968;1968;sesso;∇;https://www.imdb.com/title/tt8615192/
Il grande silenzio;Sergio Corbucci;1968;1968;violenza;≡;https://www.imdb.com/title/tt0063032/
La rivoluzione sessuale;Riccardo Ghione;1968;1968;sesso;∇;https://www.imdb.com/title/tt0063511/
Mercato nero dell'amore;Ernst Hofbauer;1969;1966;sesso;∇;https://www.imdb.com/title/tt0060948/
Nuda sotto la pelle;Jack Cardiff;1969;1968;sesso;∇;https://www.imdb.com/title/tt0063013/
Il grande cerimoniale;Pierre-Alain Jolivet;1969;1969;religione;∓;https://www.imdb.com/title/tt0063029/
L'urlo;Tinto Brass;1969;1970;;≡;https://www.imdb.com/title/tt0063751/
Vita segreta di una diciottenne;Oscar Brazzi;1969;1969;sesso;∇;https://www.imdb.com/title/tt0065183/
Zieh dich aus, Puppe;Ákos Ráthonyi;1969;1968;sesso;∇;https://www.imdb.com/title/tt0063839/
Kvinnolek;Joseph W. Sarno;1969;1968;sesso;∇;https://www.imdb.com/title/tt0064559/
Helga e gli uomini;Roland Caemmerer;1969;1969;sesso;∇;https://www.imdb.com/title/tt0144232/
Prostitution - Amori pericolosi;Gerhard Ammann;1969;1967;sesso;∇;https://www.imdb.com/title/tt0212500/
Italiani! È severamente proibito servirsi della toilette durante le fermate;Vittorio Sindoni;1969;1969;politica;∅;https://www.imdb.com/title/tt0171966/
Top Sensation;Ottavio Alessi;1969;1969;violenza;≡;https://www.imdb.com/title/tt0063707/
La casa delle demi-vierges;Helmut Weiss;1969;1969;politica;∅;https://www.imdb.com/title/tt0135995/
Eros e Thanatos;Marino Girolami;1969;1969;sesso;∇;https://www.imdb.com/title/tt0143826/
Playgirl 70;Federico Chentrens;1969;1969;sesso;∇;https://www.imdb.com/title/tt0198914/
Satyricon;Gian Luigi Polidoro;1969;1969;sesso;∇;https://www.imdb.com/title/tt0166788/
L'indiscret;François Reichenbach;1969;1969;sesso;∇;https://www.imdb.com/title/tt0064484/
Dai... muoviti;Stuart Rosenberg;1970;1970;sesso;∇;https://www.imdb.com/title/tt0066102/
L'amore di Nathalie;Boris Szulzinger;1970;1970;sesso;∇;https://www.imdb.com/title/tt0151718/
Mia nipote la vergine;Eberhard Schröder;1970;1969;sesso;∇;https://www.imdb.com/title/tt0064618/
L'assassinio di Sister George;Robert Aldrich;1970;1968;;∇;https://www.imdb.com/title/tt0063185/
Quando il sole scotta;Georges Lautner;1970;1970;;∇;https://www.imdb.com/title/tt0067681/
Love in Our Time;Elkan Allan;1970;1968;sesso;∇;https://www.imdb.com/title/tt0063245/
Kama Sutra;Kobi Jaeger;1970;1969;sesso;∇;https://www.imdb.com/title/tt0064532/
Alle dame del castello piace molto fare quello...;Giuseppe Zaccariello;1970;1969;sesso;∇;https://www.imdb.com/title/tt0064550/
La contessa... e i suoi amanti;Kurt Nachmann;1970;1970;sesso;∇;https://www.imdb.com/title/tt0065918/
Festa per il compleanno del caro amico Harold;William Friedkin;1970;1970;sesso;∇;https://www.imdb.com/title/tt0065488/
Flesh;Paul Morrissey;1970;1968;sesso;∇;https://www.imdb.com/title/tt0062979/
Il rapporto;Lionello Massobrio;1970;1969;politca;∅;https://www.imdb.com/title/tt0202545/
Questo sporco mondo meraviglioso;Mino Loy, Luigi Scattini;1971;1971;politica;∅;https://www.imdb.com/title/tt0197790/
Mademoiselle de Sade e i suoi vizi;Warren Kiefer;1971;1969;sesso;∇;https://www.imdb.com/title/tt0064524/
Maskarada;Bostjan Hladnik;1971;1971;violenza;≡;https://www.imdb.com/title/tt0067405/
L'adultera;Ingmar Bergman;1971;1971;;∇;https://www.imdb.com/title/tt0066826/
